,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019-05-06,106,61,37,53,104,563,1413,1749,1554,1358,1197,1099,1242,1487,1509,1630,1845,1810,1763,1254,743,562,442,227
2019-05-07,119,60,36,52,104,531,1455,1679,1513,1361,1153,1165,1309,1548,1567,1674,1869,1751,1797,1202,841,858,522,257
2019-05-08,119,58,38,49,108,537,1477,1522,1487,1302,1310,1184,1334,1498,1488,1722,1718,1885,1555,1109,831,681,523,287
2019-05-09,135,77,40,71,108,567,1456,1611,1453,1261,1082,1113,1198,1448,1585,2006,1773,1885,1710,1198,820,716,613,260
2019-05-10,172,68,41,61,113,555,1419,1683,1545,1283,1131,1228,1486,1582,1841,1798,2045,1720,1565,1134,889,696,635,456
2019-05-11,316,180,106,75,80,213,318,469,682,974,992,1099,1156,1310,1364,1344,1226,1310,1252,1030,845,604,649,493
2019-05-12,464,288,161,97,81,139,103,128,253,508,766,891,1056,1022,1138,1070,1001,1161,1215,920,819,614,451,283
2019-05-13,113,69,28,60,118,562,1396,1649,1593,1294,1224,1120,1235,1394,1288,1513,1868,1766,1547,985,775,606,459,213
2019-05-14,132,59,41,55,122,558,1404,1706,1539,1474,1149,1134,1223,1578,1448,1611,1925,2125,1678,1187,866,693,511,240
2019-05-15,104,60,44,65,106,543,1449,1683,1492,1213,1129,1090,1219,1634,1691,1363,1755,1871,1514,1332,923,708,528,312
2019-05-16,123,65,42,54,125,527,1442,1562,1420,1253,1317,1209,1319,1572,1462,1667,1817,1827,1623,1124,783,674,570,311
2019-05-17,146,74,52,62,110,543,1412,1625,1464,1200,1189,1196,1410,1599,1799,1792,1684,1687,1461,1173,897,707,650,416
2019-05-18,322,154,96,72,75,206,318,547,750,1011,1272,1560,1535,1723,1335,1352,1396,1415,1030,1092,887,614,734,560
2019-05-19,396,281,151,110,98,140,118,144,328,513,648,829,888,1016,1121,1009,980,1061,924,835,552,657,530,270
2019-05-20,134,66,59,59,125,567,1549,1625,1514,1389,1508,1083,1227,1364,1451,1553,1824,1836,1673,1014,726,574,489,219
2019-05-21,105,80,42,57,111,554,1515,1604,1522,1447,1201,1035,1110,1408,1366,1626,1749,1860,1541,1071,775,594,577,297
2019-05-22,120,66,36,57,120,559,1548,1646,1654,1335,1169,1104,1215,1514,1332,1645,1798,1898,1609,1104,760,673,556,423
2019-05-23,208,93,61,57,112,577,1593,1706,1591,1375,1183,1109,1282,1453,1460,1583,1746,1879,1742,1085,950,742,605,355
2019-05-24,175,105,52,67,123,574,1463,1706,1665,1261,1297,1247,1408,1643,1618,1863,1714,1598,1494,1220,779,663,742,579
2019-05-25,383,208,144,92,77,203,313,485,718,988,1070,1104,1149,1270,1327,1326,1285,1339,1229,829,784,527,726,621
2019-05-26,497,305,167,106,74,103,109,145,275,503,715,889,932,955,1114,1068,1084,1080,1081,816,557,556,455,272
2019-05-27,152,67,49,48,120,571,1511,1710,1477,1325,1245,1135,1293,1369,1345,1473,1740,1823,1538,1060,687,583,484,368
2019-05-28,141,66,37,55,123,535,1547,1597,1446,1215,1205,1129,1218,1460,1401,1574,1845,1927,1620,1112,763,693,509,277
2019-05-29,136,57,36,55,123,575,1509,1742,1538,1378,1197,1108,1293,1531,1576,1719,1963,2004,1753,1269,919,729,683,634
2019-05-30,347,176,96,95,76,168,169,162,263,546,844,1002,1097,1090,683,976,892,731,860,637,598,535,559,455
2019-05-31,220,118,65,62,100,400,914,1188,1160,1187,1261,1352,1378,1523,1588,1513,1596,1564,1345,1063,628,616,602,461
2019-06-01,274,161,115,70,86,197,303,460,636,995,1063,1098,1287,1281,1293,1173,1198,1223,1174,1066,935,656,493,497
2019-06-02,404,246,191,99,91,108,99,133,283,498,657,763,908,1092,1157,1101,1094,983,997,943,741,662,456,278
2019-06-03,152,80,53,63,121,552,1603,1655,1702,1394,1096,1147,1228,1384,1398,1487,1676,1599,1505,1062,748,573,470,242
2019-06-04,123,73,43,51,126,561,1534,1820,1509,1265,1128,1038,1206,1381,1318,1584,1556,1821,1595,1179,870,698,544,330
2019-06-05,147,67,53,44,127,549,1539,1658,1643,1271,1226,1030,1219,1429,1326,1622,1902,2091,1628,1102,876,825,619,293
2019-06-06,153,69,48,59,128,563,1488,1752,1613,1438,1161,1145,1283,1510,1416,1758,1832,1928,1686,1219,789,717,552,314
2019-06-07,161,94,50,51,132,544,1420,1683,1615,1235,1167,1311,1443,1399,1601,1714,1701,1544,1418,1078,836,648,552,432
2019-06-08,283,144,112,66,64,195,315,430,590,856,1013,1124,1244,1266,1120,1150,1143,1182,1111,944,783,557,481,569
2019-06-09,350,233,158,115,79,109,118,122,199,445,710,919,855,912,950,838,795,865,690,676,555,487,383,224
2019-06-10,205,129,77,38,50,88,77,70,126,204,291,417,466,544,570,538,522,534,491,456,506,457,385,201
